CID,eta,VoxelCount,Stem,Minkowski_D
1.2889,0.646,2775,CID1.2889_eta0.646_N2775,2.1432
1.2889,0.626,2128,CID1.2889_eta0.626_N2128,2.1798
1.2978,0.608,3080,CID1.2978_eta0.608_N3080,2.3007
1.2978,0.623,3183,CID1.2978_eta0.623_N3183,2.295
1.2978,0.628,3435,CID1.2978_eta0.628_N3435,2.3356
1.2978,0.641,2385,CID1.2978_eta0.641_N2385,2.1972
1.3067,0.633,3348,CID1.3067_eta0.633_N3348,2.3051
1.3067,0.658,3088,CID1.3067_eta0.658_N3088,2.2925
1.3067,0.648,2070,CID1.3067_eta0.648_N2070,2.1661
1.3067,0.601,2932,CID1.3067_eta0.601_N2932,2.3349
1.3067,0.631,3118,CID1.3067_eta0.631_N3118,2.3249
1.3067,0.643,3191,CID1.3067_eta0.643_N3191,2.324
1.3156,0.593,2888,CID1.3156_eta0.593_N2888,2.2997
1.3156,0.618,3042,CID1.3156_eta0.618_N3042,2.2979
1.3156,0.613,3307,CID1.3156_eta0.613_N3307,2.2518
1.3156,0.606,3263,CID1.3156_eta0.606_N3263,2.3561
1.3156,0.603,3677,CID1.3156_eta0.603_N3677,2.3882
1.3156,0.58,3464,CID1.3156_eta0.580_N3464,2.3414
1.3156,0.588,3060,CID1.3156_eta0.588_N3060,2.2068
1.3156,0.583,4560,CID1.3156_eta0.583_N4560,2.4921
1.3244,0.616,4431,CID1.3244_eta0.616_N4431,2.5014
1.3244,0.611,4204,CID1.3244_eta0.611_N4204,2.4208
1.3244,0.578,5024,CID1.3244_eta0.578_N5024,2.5418
1.3333,0.57,4121,CID1.3333_eta0.570_N4121,2.4313
1.3333,0.575,4365,CID1.3333_eta0.575_N4365,2.4639
1.3333,0.515,5174,CID1.3333_eta0.515_N5174,2.6009
1.3333,0.528,4504,CID1.3333_eta0.528_N4504,2.5124
1.3333,0.598,3271,CID1.3333_eta0.598_N3271,2.3019
1.3333,0.568,5009,CID1.3333_eta0.568_N5009,2.5913
1.3333,0.636,3584,CID1.3333_eta0.636_N3584,2.3191
1.3422,0.535,4097,CID1.3422_eta0.535_N4097,2.4819
1.3422,0.55,3948,CID1.3422_eta0.550_N3948,2.3943
1.3422,0.548,4186,CID1.3422_eta0.548_N4186,2.4684
1.3422,0.565,4123,CID1.3422_eta0.565_N4123,2.4405
1.3422,0.5,4575,CID1.3422_eta0.500_N4575,2.5173
1.3422,0.621,3770,CID1.3422_eta0.621_N3770,2.3593
1.3422,0.563,5280,CID1.3422_eta0.563_N5280,2.5872
1.3422,0.59,3919,CID1.3422_eta0.590_N3919,2.4713
1.3511,0.503,5763,CID1.3511_eta0.503_N5763,2.6562
1.3511,0.505,5036,CID1.3511_eta0.505_N5036,2.5395
1.3511,0.518,4828,CID1.3511_eta0.518_N4828,2.5536
1.3511,0.523,6750,CID1.3511_eta0.523_N6750,2.7497
1.3511,0.525,4992,CID1.3511_eta0.525_N4992,2.5605
1.3511,0.595,4909,CID1.3511_eta0.595_N4909,2.5353
1.3511,0.533,5370,CID1.3511_eta0.533_N5370,2.5835
1.3511,0.53,4340,CID1.3511_eta0.530_N4340,2.4672
1.3511,0.54,4992,CID1.3511_eta0.540_N4992,2.5471
